time,team,event,subevent,zone,player
0:00:00,iks,avslag,0,z5,0
0:00:33,iks,passning,lång,z5,0
0:00:36,vet,brytning,0,z9,0
0:00:42,vet,rensning,0,z9,0
0:01:04,iks,passning,lång,z5,0
0:01:06,vet,brytning,0,z2,0
0:01:10,vet,passning,lång,z7,0
0:01:13,iks,brytning,0,z5,0
0:01:16,vet,brytning,0,z8,0
0:01:20,vet,bolltapp,passförsök,z8,0
0:01:38,iks,passning,lång,z4,0
0:01:42,iks,hörna,0,z7,0
0:02:18,iks,skott,täckt,z8,0
0:02:18,iks,skottyp,fast,z8,0
0:02:20,iks,skott,täckt,z8,0
0:02:20,iks,skottyp,retur,z8,0
0:02:25,vet,rensning,0,z8,0
0:02:42,iks,passning,lång,z4,0
0:02:48,vet,utkast,0,z8,0
0:03:04,vet,skott,räddning,z3,13
0:03:04,vet,skottyp,utifrån,z3,13
0:03:05,vet,hörna,0,z1,0
0:03:36,vet,skott,utanför,z2,13
0:03:36,vet,skottyp,fast,z2,13
0:03:42,iks,utkast,0,z2,13
0:04:16,iks,passning,lång,z5,0
0:04:20,iks,närkamp,0,z8,0
0:04:26,iks,närkamp,0,z8,0
0:04:31,iks,passning,straffområde,z7,0
0:04:32,vet,brytning,0,z8,0
0:04:45,vet,offside,0,z3,0
0:05:05,vet,utvisning,10a,z5,0
0:05:05,iks,frislag,0,z5,0
0:05:46,iks,passning,lång,z5,0
0:05:48,vet,brytning,0,z8,0
0:05:48,vet,utkast,0,z8,0
0:05:54,vet,passning,lång,z8,0
0:06:00,vet,närkamp,0,z6,0
0:06:24,iks,närkamp,0,z1,0
0:06:38,vet,brytning,0,z8,0
0:06:40,vet,rensning,0,z8,0
0:06:53,iks,passning,lång,z5,0
0:06:57,vet,utkast,0,z8,0
0:07:26,iks,närkamp,0,z6,0
0:07:36,vet,utkast,0,z8,0
0:07:51,vet,passning,straffområde,z3,0
0:07:52,iks,brytning,0,z2,0
0:07:58,iks,bolltapp,passförsök,z5,0
0:08:05,vet,frislag,0,z3,0
0:08:05,iks,utvisning,5a,z3,0
0:09:02,iks,närkamp,0,z3,0
0:09:20,iks,skott,täckt,z8,0
0:09:20,iks,skottyp,utifrån,z8,0
0:09:21,iks,hörna,0,z7,0
0:09:54,iks,skott,räddning,z8,0
0:09:54,iks,skottyp,fast,z8,0
0:09:55,vet,boll,0,z8,0
0:10:01,vet,rensning,0,z4,0
0:11:21,iks,skott,utanför,z8,0
0:11:21,iks,skottyp,utifrån,z8,0
0:11:22,vet,utkast,0,z8,0
0:11:30,vet,passning,lång,z9,0
0:11:34,vet,mål,spelmål,z2,13
0:11:34,vet,skottyp,friställande,z2,13
0:12:13,iks,avslag,0,z5,0
0:13:17,iks,frislag,0,z9,0
0:13:27,iks,hörna,0,z9,0
0:13:57,iks,skott,utanför,z8,0
0:13:57,iks,skott,täckt,z8,0
0:13:58,vet,utkast,0,z8,0
0:14:32,vet,skott,utanför,z2,13
0:14:32,vet,skottyp,utifrån,z2,13
0:14:33,iks,utkast,0,z2,13
0:14:53,vet,brytning,0,z9,0
0:14:56,vet,rensning,0,z9,0
0:15:00,0,stop,0,0,0
